run_id,tara_label
ERR599169,TARA_100_SRF_0.22-3
ERR598962,TARA_102_DCM_0.22-3
ERR599007,TARA_102_DCM_0.22-3
ERR599168,TARA_102_DCM_0.22-3
ERR599055,TARA_102_MES_0.22-3
ERR599128,TARA_102_MES_0.22-3
ERR599132,TARA_102_MES_0.22-3
ERR598943,TARA_102_SRF_0.22-3
ERR598978,TARA_102_SRF_0.22-3
ERR599020,TARA_110_MES_0.22-3
ERR599039,TARA_110_SRF_0.22-3
ERR598961,TARA_111_DCM_0.22-3
ERR599086,TARA_111_MES_0.22-3
ERR599077,TARA_111_SRF_0.22-3
ERR598957,TARA_112_DCM_0.22-3
ERR599072,TARA_112_MES_0.22-3
ERR598954,TARA_112_SRF_0.22-3
ERR594284,TARA_122_DCM_0.1-0.22
ERR598948,TARA_122_DCM_0.22-3
ERR594304,TARA_122_DCM_0.22-0.45
ERR594301,TARA_122_DCM_0.45-0.8
ERR594309,TARA_122_MES_0.1-0.22
ERR598999,TARA_122_MES_0.22-3
ERR599033,TARA_122_MES_0.22-3
ERR599083,TARA_122_MES_0.22-3
ERR599096,TARA_122_MES_0.22-3
ERR594305,TARA_122_MES_0.22-0.45
ERR594322,TARA_122_MES_0.45-0.8
ERR594293,TARA_123_MIX_0.1-0.22
ERR598956,TARA_123_MIX_0.22-3
ERR598998,TARA_123_MIX_0.22-3
ERR599117,TARA_123_MIX_0.22-3
ERR599157,TARA_123_MIX_0.22-3
ERR594337,TARA_123_MIX_0.22-0.45
ERR594319,TARA_123_MIX_0.45-0.8
ERR599160,TARA_123_SRF_0.22-3
ERR594326,TARA_123_SRF_0.22-0.45
ERR594347,TARA_123_SRF_0.45-0.8
ERR594285,TARA_124_MIX_0.1-0.22
ERR598988,TARA_124_MIX_0.22-3
ERR599084,TARA_124_MIX_0.22-3
ERR599089,TARA_124_MIX_0.22-3
ERR599161,TARA_124_MIX_0.22-3
ERR594343,TARA_124_MIX_0.22-0.45
ERR594338,TARA_124_MIX_0.45-0.8
ERR594287,TARA_124_SRF_0.1-0.22
ERR599036,TARA_124_SRF_0.22-3
ERR599069,TARA_124_SRF_0.22-3
ERR599080,TARA_124_SRF_0.22-3
ERR599151,TARA_124_SRF_0.22-3
ERR594311,TARA_124_SRF_0.22-0.45
ERR594296,TARA_124_SRF_0.45-0.8
ERR594341,TARA_125_MIX_0.1-0.22
ERR599156,TARA_125_MIX_0.22-3
ERR594342,TARA_125_MIX_0.22-0.45
ERR594300,TARA_125_MIX_0.45-0.8
ERR594344,TARA_125_SRF_0.1-0.22
ERR599066,TARA_125_SRF_0.22-3
ERR599091,TARA_125_SRF_0.22-3
ERR599114,TARA_125_SRF_0.22-3
ERR599119,TARA_125_SRF_0.22-3
ERR594339,TARA_125_SRF_0.22-0.45
ERR594323,TARA_125_SRF_0.45-0.8
ERR599032,TARA_128_DCM_0.22-3
ERR599038,TARA_128_SRF_0.22-3
ERR598995,TARA_132_DCM_0.22-3
ERR599142,TARA_132_SRF_0.22-3
ERR598942,TARA_133_DCM_0.22-3
ERR599052,TARA_133_SRF_0.22-3
ERR598987,TARA_137_DCM_0.22-3
ERR599070,TARA_137_DCM_0.22-3
ERR599099,TARA_137_DCM_0.22-3
ERR599147,TARA_137_DCM_0.22-3
ERR599015,TARA_137_MES_0.22-3
ERR599076,TARA_137_MES_0.22-3
ERR599127,TARA_137_MES_0.22-3
ERR599152,TARA_137_MES_0.22-3
ERR598989,TARA_137_SRF_0.22-3
ERR599162,TARA_140_SRF_0.22-3
ERR599029,TARA_141_SRF_0.22-3
ERR599100,TARA_142_DCM_0.22-3
ERR598985,TARA_142_MES_0.22-3
ERR599136,TARA_142_SRF_0.22-3
ERR599166,TARA_145_MES_0.22-3
ERR598983,TARA_145_SRF_0.22-3
ERR599123,TARA_148_SRF_0.22-3
ERR598958,TARA_148b_MES_0.22-3
ERR598964,TARA_149_MES_0.22-3
ERR598963,TARA_149_SRF_0.22-3
ERR598996,TARA_150_DCM_0.22-3
ERR599170,TARA_150_SRF_0.22-3
ERR598986,TARA_151_DCM_0.22-3
ERR598976,TARA_151_SRF_0.22-3
ERR598944,TARA_152_MES_0.22-3
ERR599001,TARA_152_MIX_0.22-3
ERR599078,TARA_152_SRF_0.22-3
