gene_id,test_accuracy,improvement_accuracy,train_accuracy,train_improvement_accuracy,proportion_sites
scf7180009409826_372640_373044_403,1.0,0.5,0.94999999999999996,0.44999999999999996,0.415
scf7180009405014_28379_28113_35,1.0,0.47499999999999998,0.94999999999999996,0.42499999999999993,0.415
scf7180009405014_3341_4111_6,1.0,0.47499999999999998,0.98750000000000004,0.46250000000000002,0.47
scf7180009405014_2646_3380_5,1.0,0.47499999999999998,0.98124999999999996,0.45624999999999993,0.48
scf7180009399551_6464_4842_5,1.0,0.47499999999999998,0.92500000000000004,0.40000000000000002,0.465
scf7180009409328_6214_7950_7,0.97499999999999998,0.47499999999999998,0.94999999999999996,0.44999999999999996,0.45
scf7180009370995_14194_13403_10,0.97499999999999998,0.47499999999999998,0.95625000000000004,0.45625000000000004,0.41
scf7180009409684_15682_15152_16,0.94999999999999996,0.44999999999999996,0.94999999999999996,0.44999999999999996,0.485
fig|1123866.3.peg.880|VBISARClu227658_0880|,0.94999999999999996,0.44999999999999996,0.93125000000000002,0.43125000000000002,0.505
scf7180009375718_4572_3730_6,0.94999999999999996,0.44999999999999996,0.93125000000000002,0.43125000000000002,0.51
fig|1123866.3.peg.955|VBISARClu227658_0955|,0.94999999999999996,0.44999999999999996,0.96250000000000002,0.46250000000000002,0.5
scf7180009255483_20435_21223_30,0.94999999999999996,0.44999999999999996,0.96250000000000002,0.46250000000000002,0.495
scf7180009407949_35962_37215_40,0.97499999999999998,0.44999999999999996,0.97499999999999998,0.44999999999999996,0.495
scf7180009255483_19957_20442_29,0.94999999999999996,0.44999999999999996,0.9375,0.4375,0.465
fig|1123866.3.peg.893|VBISARClu227658_0893|,0.94999999999999996,0.44999999999999996,0.91874999999999996,0.41874999999999996,0.455
scf7180009402733_19071_19682_22,0.94999999999999996,0.44999999999999996,0.88749999999999996,0.38749999999999996,0.495
scf7180009409420_37393_37947_31,0.94999999999999996,0.44999999999999996,0.92500000000000004,0.42500000000000004,0.465
scf7180009408072_17915_17145_19,0.94999999999999996,0.44999999999999996,0.9375,0.4375,0.48
scf7180009402733_4818_5639_6,0.94999999999999996,0.44999999999999996,0.86250000000000004,0.36250000000000004,0.47
scf7180008717285_60351_61775_71,0.94999999999999996,0.44999999999999996,0.95625000000000004,0.45625000000000004,0.445
scf7180009409826_88446_88150_92,0.97499999999999998,0.44999999999999996,0.89375000000000004,0.36875000000000002,0.425
scf7180008925946_16836_18548_17,0.94999999999999996,0.44999999999999996,0.93125000000000002,0.43125000000000002,0.455
scf7180009401759_10544_10843_11,0.97499999999999998,0.44999999999999996,0.91249999999999998,0.38749999999999996,0.495
scf7180009407954_8519_5457_9,0.94999999999999996,0.44999999999999996,0.94374999999999998,0.44374999999999998,0.5
scf7180009409420_56112_55285_53,0.97499999999999998,0.44999999999999996,0.94999999999999996,0.42499999999999993,0.485
fig|1123866.3.peg.876|VBISARClu227658_0876|,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.51
scf7180009375625_111783_111478_113,0.92500000000000004,0.42500000000000004,0.88749999999999996,0.38749999999999996,0.48
scf7180009409420_126579_126845_129,0.92500000000000004,0.42500000000000004,0.92500000000000004,0.42500000000000004,0.455
scf7180009392798_62868_59998_63,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.505
scf7180009405959_19323_21671_24,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.495
fig|1123866.3.peg.879|VBISARClu227658_0879|,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.485
scf7180009392798_65195_64575_65,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.465
scf7180009409420_45914_44922_43,0.92500000000000004,0.42500000000000004,0.96875,0.46875,0.51
scf7180009409424_27961_27380_33,0.92500000000000004,0.42500000000000004,0.93125000000000002,0.43125000000000002,0.465
scf7180009405959_41375_42097_52,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.49
fig|1123866.3.peg.881|VBISARClu227658_0881|,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.52
scf7180009409719_10432_9722_11,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.49
fig|1123866.3.peg.878|VBISARClu227658_0878|,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.48
scf7180009408934_133555_134577_129,0.92500000000000004,0.42500000000000004,0.85624999999999996,0.35624999999999996,0.505
scf7180009408160_14674_13553_18,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.495
scf7180009409305_44529_43786_47,0.92500000000000004,0.42500000000000004,0.93125000000000002,0.43125000000000002,0.485
scf7180009409305_45311_44553_48,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.485
scf7180009409424_59254_58697_67,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.485
scf7180009409424_57521_56820_64,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.49
scf7180008733726_12481_14406_9,0.92500000000000004,0.42500000000000004,0.92500000000000004,0.42500000000000004,0.475
fig|1123866.3.peg.906|VBISARClu227658_0906|,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.515
scf7180009409420_107058_108059_106,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.505
scf7180009405353_23532_22801_27,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.49
scf7180009409424_55308_54442_61,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.475
scf7180009373918_62095_60578_80,0.92500000000000004,0.42500000000000004,0.88124999999999998,0.38124999999999998,0.505
scf7180009409424_54442_53810_60,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.485
scf7180009409684_16271_15672_17,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.47
scf7180009409305_10488_9262_11,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.49
scf7180009405353_12585_11848_16,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.49
scf7180009409353_20452_21423_22,0.92500000000000004,0.42500000000000004,0.96875,0.46875,0.415
scf7180009405959_16957_18006_21,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.51
scf7180009392798_21463_22203_26,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.49
scf7180009408160_10879_9566_15,0.92500000000000004,0.42500000000000004,0.91874999999999996,0.41874999999999996,0.5
scf7180009407180_8064_6568_12,0.92500000000000004,0.42500000000000004,0.89375000000000004,0.39375000000000004,0.555
scf7180009409305_46844_45897_50,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.49
scf7180009405014_1042_917_2,0.92500000000000004,0.42500000000000004,0.96875,0.46875,0.49
scf7180009405959_40618_41382_51,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.49
scf7180009409420_87157_85970_84,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.505
scf7180009392798_32881_34449_36,1.0,0.42500000000000004,0.94999999999999996,0.375,0.555
scf7180009405959_29554_28544_33,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.485
scf7180009408248_26347_25868_29,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.475
scf7180009408248_26419_26874_30,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.46
scf7180009407211_39209_40330_50,0.92500000000000004,0.42500000000000004,0.96875,0.46875,0.505
scf7180009409719_3158_2229_4,0.92500000000000004,0.42500000000000004,0.93125000000000002,0.43125000000000002,0.505
scf7180009392798_42089_43732_45,0.92500000000000004,0.42500000000000004,0.91874999999999996,0.41874999999999996,0.505
scf7180009409420_131440_129947_132,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.505
scf7180009408248_66078_66893_67,0.92500000000000004,0.42500000000000004,0.92500000000000004,0.42500000000000004,0.51
scf7180009401190_19802_20908_15,0.92500000000000004,0.42500000000000004,0.875,0.375,0.5
scf7180009409305_29922_28966_30,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.495
scf7180009408248_36949_36035_39,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.5
scf7180009408248_54957_55796_54,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.495
fig|1123866.3.peg.4|VBISARClu227658_0004|,0.92500000000000004,0.42500000000000004,0.85624999999999996,0.35624999999999996,0.515
scf7180008709013_32902_33927_40,0.92500000000000004,0.42500000000000004,0.86875000000000002,0.36875000000000002,0.405
scf7180009409420_54315_55292_52,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.49
scf7180009408248_50864_52327_51,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.51
scf7180009408248_40191_39463_41,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.5
scf7180009408248_45212_45772_45,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.48
scf7180009409842_40311_39700_45,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.485
scf7180009409842_41026_40301_46,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.49
scf7180009392798_54090_55580_57,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.495
scf7180009392798_59980_58712_62,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.505
scf7180009392798_26262_27677_29,0.92500000000000004,0.42500000000000004,0.96875,0.46875,0.495
scf7180009408160_8938_7862_13,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.49
scf7180009409420_84622_85521_82,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.47
scf7180009405353_26090_24954_30,0.92500000000000004,0.42500000000000004,0.96875,0.46875,0.505
scf7180009405959_39764_40606_50,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.485
scf7180009409420_49176_47590_45,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.5
scf7180009409842_50103_51971_56,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.505
scf7180009409842_45876_48998_53,0.92500000000000004,0.42500000000000004,0.96875,0.46875,0.51
scf7180009409842_45061_45879_52,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.485
scf7180009399551_7009_6434_6,0.92500000000000004,0.42500000000000004,0.91249999999999998,0.41249999999999998,0.42
scf7180009392798_58708_58100_61,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.485
scf7180009392798_27677_28837_30,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.48
scf7180009405959_22991_21663_25,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.475
scf7180009255483_12480_13442_17,0.92500000000000004,0.42500000000000004,0.97499999999999998,0.47499999999999998,0.505
scf7180009392798_56052_55591_58,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.47
scf7180009409684_25836_26549_25,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.47
scf7180009409842_42390_41593_48,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.495
scf7180009405853_53520_54620_57,0.92500000000000004,0.42500000000000004,0.92500000000000004,0.42500000000000004,0.435
scf7180009405353_24957_24202_29,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.49
scf7180009408248_44731_45207_44,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.48
scf7180009392798_75540_76235_77,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.485
scf7180009409878_9546_8974_9,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.49
scf7180009405353_32580_31210_36,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.48
scf7180009401029_134463_134146_137,0.92500000000000004,0.42500000000000004,0.84999999999999998,0.34999999999999998,0.5
scf7180009405353_4022_2973_5,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.5
scf7180009409420_138021_137164_138,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.49
scf7180009409878_31415_30654_38,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.495
scf7180009409424_86970_87860_97,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.485
scf7180009409424_85709_86548_95,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.495
fig|1123866.3.peg.931|VBISARClu227658_0931|,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.485
scf7180009409024_14351_15112_15,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.5
scf7180009409424_65189_65692_75,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.49
scf7180009409024_21395_22537_22,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.485
fig|1123866.3.peg.954|VBISARClu227658_0954|,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.49
scf7180009409420_115388_116704_115,1.0,0.42500000000000004,0.95625000000000004,0.38125000000000009,0.555
scf7180009409424_65125_64625_74,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.465
scf7180009392798_74645_75553_76,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.485
scf7180009409424_81094_81909_90,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.485
scf7180009409878_89396_87747_96,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.51
scf7180009409424_79484_81010_89,0.92500000000000004,0.42500000000000004,0.96875,0.46875,0.5
scf7180009409424_64624_64064_73,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.49
scf7180009405959_11639_13255_16,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.5
scf7180009405353_37958_36564_43,0.92500000000000004,0.42500000000000004,0.97499999999999998,0.47499999999999998,0.51
scf7180009392798_1463_2269_3,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.46
scf7180009392798_73046_73993_74,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.495
scf7180008725772_20983_19079_22,0.92500000000000004,0.42500000000000004,0.88749999999999996,0.38749999999999996,0.425
fig|1123866.3.peg.921|VBISARClu227658_0921|,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.49
scf7180009260840_1454_3379_4,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.5
fig|1123866.3.peg.989|VBISARClu227658_0989|,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.5
scf7180009409424_61928_60852_69,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.5
scf7180009371501_23883_24593_28,0.92500000000000004,0.42500000000000004,0.84999999999999998,0.34999999999999998,0.44
scf7180009409424_94772_96598_106,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.51
fig|1123866.3.peg.1003|VBISARClu227658_1003|,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.485
scf7180009392798_16336_17427_22,0.92500000000000004,0.42500000000000004,0.92500000000000004,0.42500000000000004,0.485
scf7180009405353_28485_27655_33,0.92500000000000004,0.42500000000000004,0.91874999999999996,0.41874999999999996,0.455
scf7180009409420_137167_135707_137,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.51
scf7180009260840_15113_14733_17,0.92500000000000004,0.42500000000000004,0.93125000000000002,0.43125000000000002,0.495
scf7180009405353_41140_40112_46,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.49
scf7180009409424_78860_77568_87,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.49
fig|1123866.3.peg.986|VBISARClu227658_0986|,0.92500000000000004,0.42500000000000004,0.96875,0.46875,0.515
scf7180009272341_8483_9391_20,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.495
scf7180009409420_141727_142587_144,0.92500000000000004,0.42500000000000004,0.94999999999999996,0.44999999999999996,0.485
scf7180009260840_13938_14741_16,0.92500000000000004,0.42500000000000004,0.9375,0.4375,0.46
scf7180009405353_43565_42225_48,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.505
scf7180009272341_19231_20604_36,0.92500000000000004,0.42500000000000004,0.96250000000000002,0.46250000000000002,0.51
scf7180008721034_25139_26434_34,0.92500000000000004,0.42500000000000004,0.94374999999999998,0.44374999999999998,0.49
fig|1123866.3.peg.978|VBISARClu227658_0978|,0.92500000000000004,0.42500000000000004,0.95625000000000004,0.45625000000000004,0.49
scf7180009260840_21777_19414_22,0.94999999999999996,0.42499999999999993,0.96875,0.44374999999999998,0.515
scf7180009409420_116760_117161_116,0.97499999999999998,0.42499999999999993,0.94999999999999996,0.39999999999999991,0.535
scf7180009409305_15078_13762_16,0.94999999999999996,0.42499999999999993,0.95625000000000004,0.43125000000000002,0.505
scf7180009409328_20447_20953_24,0.94999999999999996,0.42499999999999993,0.9375,0.41249999999999998,0.51
scf7180009409420_127070_127639_130,0.94999999999999996,0.42499999999999993,0.95625000000000004,0.43125000000000002,0.5
scf7180009409719_17522_16095_17,0.97499999999999998,0.42499999999999993,0.96250000000000002,0.41249999999999998,0.51
scf7180009408248_24950_23292_26,0.94999999999999996,0.42499999999999993,0.94999999999999996,0.42499999999999993,0.505
scf7180009409424_71412_72758_81,0.94999999999999996,0.42499999999999993,0.96250000000000002,0.4375,0.51
scf7180009392798_57195_58094_60,0.94999999999999996,0.42499999999999993,0.93125000000000002,0.40625,0.495
scf7180009409420_84422_84625_81,0.97499999999999998,0.42499999999999993,0.95625000000000004,0.40625,0.405
scf7180009409842_57916_58395_65,0.94999999999999996,0.42499999999999993,0.9375,0.41249999999999998,0.46
scf7180009409420_83587_84171_80,0.94999999999999996,0.42499999999999993,0.94374999999999998,0.41874999999999996,0.5
scf7180009405959_15148_13721_18,0.94999999999999996,0.42499999999999993,0.9375,0.41249999999999998,0.515
scf7180009409424_60837_59254_68,0.94999999999999996,0.42499999999999993,0.96875,0.44374999999999998,0.515
scf7180009409420_70445_71779_67,0.97499999999999998,0.42499999999999993,0.96250000000000002,0.41249999999999998,0.53
scf7180009407211_40878_44318_52,0.94999999999999996,0.42499999999999993,0.98124999999999996,0.45624999999999993,0.52
fig|1123866.3.peg.1004|VBISARClu227658_1004|,0.94999999999999996,0.42499999999999993,0.94999999999999996,0.42499999999999993,0.5
scf7180009409424_93410_94765_105,0.94999999999999996,0.42499999999999993,0.96875,0.44374999999999998,0.51
scf7180009409420_123825_122827_125,0.97499999999999998,0.42499999999999993,0.94374999999999998,0.39374999999999993,0.51
scf7180009409424_90700_91563_102,0.97499999999999998,0.42499999999999993,0.96250000000000002,0.41249999999999998,0.515
scf7180009272341_11109_11942_25,0.94999999999999996,0.42499999999999993,0.94374999999999998,0.41874999999999996,0.505
scf7180009401572_8062_9720_15,0.97499999999999998,0.42499999999999993,0.90000000000000002,0.34999999999999998,0.53
scf7180009408248_52337_54601_52,0.97499999999999998,0.42499999999999993,0.95625000000000004,0.40625,0.51
fig|1123866.3.peg.977|VBISARClu227658_0977|,0.97499999999999998,0.42499999999999993,0.95625000000000004,0.40625,0.525
scf7180009408248_36042_34915_38,0.94999999999999996,0.42499999999999993,0.94374999999999998,0.41874999999999996,0.495
scf7180009408248_62390_61431_62,0.94999999999999996,0.42499999999999993,0.94999999999999996,0.42499999999999993,0.485
scf7180009392798_40104_41360_43,0.94999999999999996,0.42499999999999993,0.9375,0.41249999999999998,0.525
scf7180009408248_32016_32900_34,0.94999999999999996,0.42499999999999993,0.94374999999999998,0.41874999999999996,0.5
scf7180009407211_45291_45704_54,0.94999999999999996,0.42499999999999993,0.9375,0.41249999999999998,0.475
scf7180009409719_20604_19411_20,0.94999999999999996,0.42499999999999993,0.95625000000000004,0.43125000000000002,0.49
scf7180009408248_30644_29097_32,0.94999999999999996,0.42499999999999993,0.95625000000000004,0.43125000000000002,0.51
scf7180009406446_13758_14042_12,0.94999999999999996,0.42499999999999993,0.89375000000000004,0.36875000000000002,0.44
scf7180009392798_34451_35413_37,0.97499999999999998,0.42499999999999993,0.94374999999999998,0.39374999999999993,0.535
scf7180009409842_36844_35723_40,0.94999999999999996,0.42499999999999993,0.94374999999999998,0.41874999999999996,0.5
scf7180009409305_26398_24731_25,0.94999999999999996,0.42499999999999993,0.94999999999999996,0.42499999999999993,0.505
scf7180009409424_84955_85716_94,0.94999999999999996,0.42499999999999993,0.94374999999999998,0.41874999999999996,0.49
scf7180009409420_117582_118043_118,0.97499999999999998,0.42499999999999993,0.91249999999999998,0.36249999999999993,0.53
scf7180009409424_84375_84962_93,0.94999999999999996,0.42499999999999993,0.94374999999999998,0.41874999999999996,0.485
scf7180009409842_38967_39707_44,0.94999999999999996,0.42499999999999993,0.94999999999999996,0.42499999999999993,0.495
scf7180009409328_18075_19493_21,0.94999999999999996,0.42499999999999993,0.94999999999999996,0.42499999999999993,0.5
scf7180009409424_82538_84382_92,0.97499999999999998,0.42499999999999993,0.96875,0.41874999999999996,0.51
scf7180009409305_37576_38508_40,0.94999999999999996,0.42499999999999993,0.96250000000000002,0.4375,0.5
scf7180009405853_58973_60223_62,0.94999999999999996,0.42499999999999993,0.94999999999999996,0.42499999999999993,0.465
scf7180009409420_117154_117585_117,0.97499999999999998,0.42499999999999993,0.9375,0.38749999999999996,0.52
scf7180009409420_70228_68336_66,0.97499999999999998,0.42499999999999993,0.95625000000000004,0.40625,0.51
scf7180009409420_127662_129944_131,0.97499999999999998,0.42499999999999993,0.96875,0.41874999999999996,0.515
scf7180009405353_42232_41147_47,0.94999999999999996,0.42499999999999993,0.95625000000000004,0.43125000000000002,0.495
scf7180009260840_16958_15684_19,0.97499999999999998,0.42499999999999993,0.96250000000000002,0.41249999999999998,0.51
scf7180009392798_25038_26249_28,0.94999999999999996,0.42499999999999993,0.94374999999999998,0.41874999999999996,0.49
scf7180009400613_36100_36702_40,0.94999999999999996,0.42499999999999993,0.95625000000000004,0.43125000000000002,0.47
fig|1123866.3.peg.917|VBISARClu227658_0917|,0.94999999999999996,0.42499999999999993,0.95625000000000004,0.43125000000000002,0.495
scf7180009409684_4962_3628_5,0.94999999999999996,0.42499999999999993,0.95625000000000004,0.43125000000000002,0.51
scf7180009409878_11962_11108_12,0.94999999999999996,0.42499999999999993,0.94999999999999996,0.42499999999999993,0.495
scf7180009409684_5763_4963_6,0.94999999999999996,0.42499999999999993,0.96875,0.44374999999999998,0.51
scf7180009409420_108711_109943_108,0.94999999999999996,0.42499999999999993,0.96250000000000002,0.4375,0.5
scf7180009408160_29486_30640_38,0.94999999999999996,0.42499999999999993,0.95625000000000004,0.43125000000000002,0.51
scf7180009409420_35226_32164_27,0.97499999999999998,0.42499999999999993,0.96875,0.41874999999999996,0.525
scf7180009409420_139424_138468_140,0.94999999999999996,0.42499999999999993,0.96875,0.44374999999999998,0.515
fig|1123866.3.peg.936|VBISARClu227658_0936|,0.94999999999999996,0.42499999999999993,0.94999999999999996,0.42499999999999993,0.505
