gene,pathway_name,ec_description,ec_number,ERR598993,ERR598969,ERR599106,ERR599097,ERR599041,ERR599116,ERR599049,ERR599134,ERR598966,ERR599143,ERR599102,ERR599158,ERR599145,ERR599075,ERR599045,ERR599054,ERR599138,ERR599002,ERR599016,ERR599098,ERR599139,ERR599026,ERR598972,ERR599023,ERR599025,ERR598970,ERR599088,ERR599150,ERR598982,ERR599107,ERR598973,ERR599068,ERR599173,ERR594294,ERR594318,ERR599165,ERR594349,ERR594335,ERR599133,ERR599137,ERR599148,ERR594321,ERR594298,ERR599010,ERR599126,ERR594310,ERR594286,ERR599046,ERR599101,ERR594336,ERR594303,ERR599159,ERR599006,ERR599022,ERR594340,ERR594332,ERR599163,ERR599007,ERR599168,ERR598943,ERR598978,ERR599020,ERR599039,ERR598961,ERR594304,ERR594301,ERR594305,ERR594322,ERR594337,ERR599160,ERR594326,ERR594347,ERR598988,ERR599084,ERR599089,ERR599161,ERR594343,ERR594338,ERR594287,ERR599036,ERR599069,ERR599080,ERR599151,ERR594311,ERR594296,ERR594342,ERR594300,ERR599066,ERR599091,ERR599114,ERR599119,ERR599032,ERR599038,ERR598989,ERR599162,ERR599029,ERR599100,ERR599136,ERR598983,ERR599123,ERR598963,ERR598996,ERR599170,ERR598986,ERR598976
fig|1123866.3.peg.1001|VBISARClu227658_1001|,Aminoacyl-tRNA biosynthesis,Arginine--tRNA ligase,6.1.1.19,18.6309825492,4.51718560905,0.54100113247,5.70641856151,2.5296506458,1.65223981066,0.352421848107,1.50050087987,2.02786828351,1.50036079698,1.26213245558,1.96948186981,0.734178132082,3.43424280217,8.74230353864,1.66981752202,92.7918283652,0.197339458425,1.28261812713,0.2299649046,0.0292017750444,0.338642625921,0.423166505845,0.401663191673,0.602849504752,0.261693422855,0.30255163698,0.0485321221524,0.529170705421,0.467348877537,0.373456103535,0.480948577972,0.105891482717,0.0591240896172,0.345740810387,1.14862294029,0.0706346149065,0.343603249454,0.769280007259,2.61066511434,1.99047562496,1.5528724183,7.39053830454,90.9404863283,3.84276967269,1.57368476672,1.56624603292,7.98236015576,0.49613192871,0.159660946345,1.39870985049,4.62553331878,0.266064516225,2.21188461384,0.335970446566,0.646830954507,0.0230155203973,0.0,0.0,0.0517197393067,0.00962928415663,0.00498037917693,0.000798452706107,0.0251870074726,0.0219478529605,0.393930012544,0.0,0.0,0.0,0.000992143463137,0.000821956772509,0.000675153954612,0.0,0.0,0.0,0.0,0.00145603957925,0.0128933676654,0.0,0.0,0.0,0.0,0.0,0.000306388400202,0.0,0.000341486174751,0.0,0.0146036084502,0.00392462053596,0.0,0.0093146677595,0.000222515176687,0.000182957130826,0.0094119200907,0.12293849174,0.108282331534,0.118920015838,0.111042227245,0.0624239516218,0.208940350683,0.0546867636269,0.225927143167,0.23288892206,0.423729039567,0.933388538705
fig|1123866.3.peg.1002|VBISARClu227658_1002|,,,,32.9434216823,12.0279804484,1.65493015323,14.0174708605,7.83163972581,4.48663682306,1.07024570389,3.87085177127,3.65732140515,5.67046594284,3.27090957114,5.96341664587,1.95464395041,8.88921629356,29.0172641358,5.61180984439,321.883399971,0.580463718817,4.39270339806,0.561164068941,0.0864593581265,0.817654693958,2.13968373663,0.992985257856,1.75523940402,0.558976421822,1.04044451937,0.154139963652,0.626242102246,1.67553386265,0.967326448268,1.64736210784,0.369845393726,0.211955347989,1.95983118943,2.2503639567,0.208334553391,1.07147248592,2.07496632274,9.23910399834,7.31325432748,4.78567205551,20.9203028466,289.493549559,15.4848932475,4.81215672503,4.70444511127,33.6077751586,1.31182645911,0.503973223065,4.425831156,7.86679755726,1.03007408804,5.4795468229,1.04119205993,1.88266411651,0.0,0.0,0.0,0.0,0.0,0.015393527466,0.00329884482093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00155853952771,0.0262769081215,0.340850210735,0.298937281921,0.330885269312,0.283765558603,0.218634461879,0.628147564597,0.184794172866,0.523627873413,0.624029421083,2.00777573733,3.65907743992
fig|1123866.3.peg.1003|VBISARClu227658_1003|,,,,31.3842640627,12.4016180451,1.58356291513,12.5666178026,8.09653397576,4.58857688292,0.930736914709,3.81805288922,9.25924585216,5.16057436097,3.28703137821,4.59087640122,2.03006085873,9.10693619179,38.4987224891,4.57544469658,324.767905299,0.524817615789,3.34716249637,0.528598925292,0.0822276141213,0.803101670806,1.64057249715,1.3952580187,1.33019259032,0.574251946762,0.791139747365,0.135637776431,0.820337296863,2.22690906873,1.0364322783,0.912819091792,0.458541312857,0.205405165922,0.881023777315,3.27470368354,0.207457401965,1.08524499888,2.36925409962,6.42332997176,4.86034719189,5.29939372181,15.7424794766,250.32493688,11.134855214,4.71289270834,4.62253509483,40.0449519762,1.2755717312,0.486835961871,4.32127034573,8.11698084526,0.829138619971,5.70090140633,0.943486538703,1.95492444762,0.0694081161827,0.0,0.0,0.130541525412,0.0253721201267,0.0152727489106,0.00189981507811,0.0,0.0311217776635,0.994286232534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0586937786625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279578371768,0.294696713595,0.263363704482,0.346457572641,0.320385244493,0.33476957664,0.592168015632,0.196740209123,0.432383566651,0.60532263488,2.59997158747,3.59529389924
fig|1123866.3.peg.1004|VBISARClu227658_1004|,Arginine and proline metabolism,Pyrroline-5-carboxylate reductase,1.5.1.2,28.7499129995,12.3912839681,1.32219968723,12.2794115422,7.86365115462,4.25707810502,0.953154978035,3.73353154083,6.35651771861,4.98514437942,3.44291796667,5.89603121176,2.14878533447,9.52139771028,34.9477568903,4.77649062278,243.258744341,0.508671838834,3.25127757625,0.526585554069,0.0787017286225,0.881343340327,0.752757537378,0.946346695457,1.11913714595,0.688406535941,0.73005028692,0.125467772749,1.00753197407,1.46810581216,1.47277164775,3.50972999467,0.507025016981,0.277234371514,1.2896479787,2.74796574888,0.204811490093,0.97983980147,1.57908385588,7.73535828558,4.67956785138,4.00004502712,17.3615426722,223.709625326,10.2597365252,4.64050355985,4.39154224299,40.5885755223,1.50297985616,0.406264822111,3.48923664988,12.9111650664,0.818132839569,6.07515119039,0.887223514848,1.87382959561,0.0,0.0,0.0,0.226768169177,0.0220920741788,0.00380221043115,0.00273364695722,0.109063734274,0.0410541214208,0.865747327948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540147228236,0.0,0.0,0.0,0.0,0.0,0.0,0.0176969612662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00310704591687,0.0225009016607,0.291926796519,0.282949478625,0.333722662444,0.307212786437,0.149744964099,0.606881873027,0.16992926297,0.527773678335,0.609746986573,1.83996716603,2.02321152091
fig|1123866.3.peg.1005|VBISARClu227658_1005|,,,,29.6101055307,11.5475847694,1.55883968358,14.8396343299,7.31097217541,4.49789441891,1.02926676727,3.63812257388,6.69603301834,3.09837945151,3.71482020609,6.82539920374,2.14083495998,9.04006286628,31.2154225964,5.04717151173,292.981653373,0.515854539483,3.27580500162,0.500550478531,0.0818906798558,0.902202144767,2.18340158473,1.37074600743,2.88220735348,0.76640471306,0.865835354106,0.134285398845,0.932588306323,1.67269697992,0.914490521682,0.891719206039,0.386000879722,0.177856157939,1.29992590656,2.93938511729,0.204690130271,1.07871302155,1.4415027308,7.35569444948,7.53498972692,5.42287815023,19.8411958223,248.920998081,10.9754941602,4.82074997033,4.61152749519,33.8154591344,1.56337875896,0.340377293717,3.5609283357,7.142857479,0.865411730775,7.20148935624,0.990438424909,1.70557905524,1.41519915599,0.0,0.0,0.161520672702,0.0,0.0223192441283,0.00494158385749,0.164730866412,0.181430182648,2.60218911143,1.75321781402,2.72614724119,0.225205256837,0.0631549565707,0.0487878143266,0.0573412387247,0.0874661395059,0.280632030102,0.109495109623,0.197892745707,0.0572762705304,0.301516665453,0.0,0.134144060663,0.108080974237,0.0875141928169,0.157518878344,0.0281179512971,0.157556725922,0.0866416948623,0.103091546793,0.370835200377,0.343937297743,0.446413377122,0.152226902016,0.0197191876223,0.0281265462172,0.0284326312535,0.317759610883,0.302254328172,0.307327759472,0.321398743161,0.150638834358,0.697205773525,0.159223046949,0.510244877803,0.625779206209,1.66729909538,3.25481845835
fig|1123866.3.peg.1006|VBISARClu227658_1006|,Cysteine and methionine metabolism,Homoserine O-acetyltransferase,2.3.1.31,16.3126597562,6.37116704552,0.909995297299,8.8839508226,3.60801216153,2.30591661364,0.448898714799,1.10940378261,5.51605699051,2.36542200523,2.18184875645,3.06867321942,1.22898568029,5.01215384355,19.1207872983,2.38459469113,132.930152893,0.281497319418,1.80771218258,0.296637361315,0.0430039796327,0.465059691481,1.19261778255,0.809118249883,1.2009901856,0.403123581629,0.490519713145,0.0850163916596,0.773611652298,1.03886715049,0.321442876359,0.542859702313,0.239668667452,0.156646982641,0.729246296642,1.9200860318,0.113738260371,0.62118012955,0.933694658119,3.36864223992,3.52496551252,2.34798074369,9.04904785476,105.761901662,4.64882105031,1.90402132547,2.10962119372,19.1707487134,0.692704922288,0.212693923937,1.57259711529,3.45514627556,0.314178612082,2.44336992586,0.474622141495,0.933151568466,0.0,0.0,0.0,0.0,0.0077470599547,0.00275554182885,0.00187008848337,0.0,0.0397688174353,0.62275462844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000168363030992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000932050727176,0.000766353690419,0.0173183146006,0.157286228488,0.128783646701,0.189422652065,0.197953601518,0.117840273487,0.326684592696,0.109623567435,0.289083018261,0.332766261451,1.10511913299,1.86586573347
fig|1123866.3.peg.1006|VBISARClu227658_1006|,Sulfur metabolism,Homoserine O-acetyltransferase,2.3.1.31,16.3126597562,6.37116704552,0.909995297299,8.8839508226,3.60801216153,2.30591661364,0.448898714799,1.10940378261,5.51605699051,2.36542200523,2.18184875645,3.06867321942,1.22898568029,5.01215384355,19.1207872983,2.38459469113,132.930152893,0.281497319418,1.80771218258,0.296637361315,0.0430039796327,0.465059691481,1.19261778255,0.809118249883,1.2009901856,0.403123581629,0.490519713145,0.0850163916596,0.773611652298,1.03886715049,0.321442876359,0.542859702313,0.239668667452,0.156646982641,0.729246296642,1.9200860318,0.113738260371,0.62118012955,0.933694658119,3.36864223992,3.52496551252,2.34798074369,9.04904785476,105.761901662,4.64882105031,1.90402132547,2.10962119372,19.1707487134,0.692704922288,0.212693923937,1.57259711529,3.45514627556,0.314178612082,2.44336992586,0.474622141495,0.933151568466,0.0,0.0,0.0,0.0,0.0077470599547,0.00275554182885,0.00187008848337,0.0,0.0397688174353,0.62275462844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000168363030992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000932050727176,0.000766353690419,0.0173183146006,0.157286228488,0.128783646701,0.189422652065,0.197953601518,0.117840273487,0.326684592696,0.109623567435,0.289083018261,0.332766261451,1.10511913299,1.86586573347
fig|1123866.3.peg.1007|VBISARClu227658_1007|,,,,13.7836661181,4.57242728511,0.6807058464,7.77505986824,3.52175481912,2.21614274114,0.368905366185,1.12767601782,2.2158352989,1.30786616244,2.05562015037,1.73013642884,0.845439176276,3.87339335193,11.4340719512,2.21573150974,119.506942147,0.228885355469,1.9309263943,0.249690129046,0.0345297627687,0.316169239879,1.31315605153,0.559657667089,0.641256006357,0.303124703318,0.433351293896,0.0582193977158,0.387746937978,0.0,0.219654438911,0.58397028633,0.0797180040256,0.116695447351,0.877763176006,1.98838337888,0.0922476868558,0.61042297093,0.471953591166,4.04611694975,1.75098508665,2.313561939,6.10926481036,77.6059072974,3.1274436673,1.97957599745,1.56120831565,18.9471889885,0.604050496502,0.192387018678,1.67811910826,2.07568836648,0.308340544418,1.34163246706,0.403556137309,0.876184699963,0.0780515788965,0.0,0.0,0.075121901089,0.0,0.00506348295454,0.00185615204899,0.0,0.0182694313599,1.1329076332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000251004591556,0.0,0.0,0.0,0.0,0.0,0.0885343493762,0.0,0.00085635117573,0.0,0.0134247635668,0.10733809218,0.118637580966,0.126744506456,0.140235747928,0.107255730585,0.172215678418,0.0950486335106,0.308056475929,0.366819824285,0.505803648316,1.1542956839
fig|1123866.3.peg.1009|VBISARClu227658_1009|,,,,26.7187644285,6.00304335308,0.790632663864,5.6840616252,3.87940089947,2.50373010636,0.638364912963,2.06228017103,3.15550646549,2.1589083909,2.09154042226,2.79709243165,1.21688179621,5.23944482582,14.6357553691,2.57570258218,100.831217231,0.253915554972,2.06975782783,0.200981750895,0.0403714280315,0.514448384213,0.846785657587,0.794307936059,1.06921985946,0.387123373687,0.52563345117,0.068169766022,0.910574184968,1.19497115067,0.647130712225,0.855562619362,0.187532861235,0.254109879136,0.0,1.34760133539,0.128762467159,0.497898136457,0.484383120923,2.99304459027,2.40951139116,1.80515906073,7.41610008833,73.5698792616,2.91622473535,1.60914924347,1.55910991894,14.7369119131,0.840272129725,0.156514691437,1.31370819669,4.3797169001,0.374085419978,2.49395969856,0.336512584534,0.78088242013,0.0,0.0,0.0,0.154891239996,0.015052371785,0.00257780036451,0.000489056252069,0.0,0.0745922896973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136707114624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00305983213079,0.0152255522318,0.18377569235,0.158910362877,0.177702417645,0.172567385475,0.149144823832,0.354640965908,0.0711522845172,0.223860229012,0.324418775281,0.494561693223,1.06530346444
fig|1123866.3.peg.1010|VBISARClu227658_1010|,,,,39.3697336482,12.4407094907,1.51637337428,11.7518397246,6.27128236372,3.71552868214,0.979166567695,3.42498016104,4.02295006195,4.79149039024,4.25975364229,6.42155996557,1.86303038035,8.2136992359,33.4622062645,4.54154148307,276.541849346,0.531114460448,3.72227701037,0.637254266429,0.0999159596336,0.800005502745,2.60217904715,1.39740744893,2.16629097882,0.626100217128,0.745021731252,0.133755793947,1.48458766111,1.6590744913,0.788848473848,1.45290040802,0.308345849373,0.224851049944,1.13697255776,2.71993913131,0.193307143064,0.890268740762,2.15741926886,8.41809142579,6.50270081134,4.55057045657,17.5379724671,167.157876614,9.49776759784,3.9865681727,3.76722484015,26.3356385363,1.17261697266,0.401238840318,3.7439917535,8.71478904891,0.860108266102,7.79602519639,0.894179732404,1.7302130314,30.325524208,0.283017546429,0.451758323517,2.31009007056,0.525358776318,0.154014444667,0.0598853044976,6.71529394756,7.72100127836,63.2323784925,12.8804513751,36.759642099,6.19433865241,0.799894622433,0.686954305383,0.881662160338,3.72950133172,5.41128897037,3.31160422191,2.77631012334,1.00570109779,4.31900621346,50.2099200931,2.40759294811,1.97980464644,2.20621753087,2.94003940321,0.593995908258,3.46423258173,1.04024337847,2.17490178202,9.60165547448,6.56290452781,8.48926062664,5.448438699,0.384595859692,0.374177774341,0.0869796617269,0.248976858164,0.262804157667,0.295438745991,0.329783153773,0.198782768299,0.591385983611,0.163785488649,0.464944427618,0.502069324623,1.61821134601,4.35799384209
