CRUISE,Station ID,STATION,LAT,LONG,sample_label,Date/Time [yyyy-mm-ddThh:mm],depth.id,size.frac.lower,size.frac.upper
TARA,TARA_076_DCM_0.22-3,TARA_076,-21.0292,-35.3498,TARA_076_DCM_0.22-3,2010-10-16T16:58:37,DCM,0.22,3
TARA,TARA_076_SRF_0.22-0.45,TARA_076,-20.9354,-35.1803,TARA_076_SRF_0.22-0.45,2010-10-16T09:55,SRF,0.22,0.45
TARA,TARA_072_DCM_0.22-3,TARA_072,-8.7296,-17.9604,TARA_072_DCM_0.22-3,2010-10-05T15:35,DCM,0.22,3
TARA,TARA_072_DCM_0.22-3,TARA_072,-8.7296,-17.9604,TARA_072_DCM_0.22-3,2010-10-05T15:35,DCM,0.22,3
TARA,TARA_064_SRF_0.22-3,TARA_064,-29.5019,37.9889,TARA_064_SRF_0.22-3,2010-07-07T04:48,SRF,0.22,3
TARA,TARA_064_SRF_0.22-3,TARA_064,-29.5019,37.9889,TARA_064_SRF_0.22-3,2010-07-07T04:48,SRF,0.22,3
TARA,TARA_064_SRF_0.22-3,TARA_064,-29.5019,37.9889,TARA_064_SRF_0.22-3,2010-07-07T04:48,SRF,0.22,3
TARA,TARA_064_DCM_0.22-3,TARA_064,-29.5333,37.9117,TARA_064_DCM_0.22-3,2010-07-08T06:21,DCM,0.22,3
TARA,TARA_064_DCM_0.22-3,TARA_064,-29.5333,37.9117,TARA_064_DCM_0.22-3,2010-07-08T06:21,DCM,0.22,3
TARA,TARA_064_DCM_0.22-3,TARA_064,-29.5333,37.9117,TARA_064_DCM_0.22-3,2010-07-08T06:21,DCM,0.22,3
TARA,TARA_066_DCM_0.22-3,TARA_066,-34.8901,18.0459,TARA_066_DCM_0.22-3,2010-07-15T15:36:10,DCM,0.22,3
TARA,TARA_066_DCM_0.22-3,TARA_066,-34.8901,18.0459,TARA_066_DCM_0.22-3,2010-07-15T15:36:10,DCM,0.22,3
TARA,TARA_066_SRF_0.22-3,TARA_066,-34.9449,17.9189,TARA_066_SRF_0.22-3,2010-07-15T12:22,SRF,0.22,3
TARA,TARA_066_SRF_0.22-3,TARA_066,-34.9449,17.9189,TARA_066_SRF_0.22-3,2010-07-15T12:22,SRF,0.22,3
TARA,TARA_066_SRF_0.22-3,TARA_066,-34.9449,17.9189,TARA_066_SRF_0.22-3,2010-07-15T12:22,SRF,0.22,3
TARA,TARA_039_DCM_0.22-1.6,TARA_039,18.5839,66.4727,TARA_039_DCM_0.22-1.6,2010-03-18T11:33,DCM,0.22,1.6
TARA,TARA_036_SRF_0.22-1.6,TARA_036,20.8183,63.5047,TARA_036_SRF_0.22-1.6,2010-03-12T06:06,SRF,0.22,1.6
TARA,TARA_036_SRF_0.22-1.6,TARA_036,20.8183,63.5047,TARA_036_SRF_0.22-1.6,2010-03-12T06:06,SRF,0.22,1.6
TARA,TARA_038_SRF_0.22-1.6,TARA_038,19.0393,64.4913,TARA_038_SRF_0.22-1.6,2010-03-15T03:35,SRF,0.22,1.6
TARA,TARA_038_SRF_0.22-1.6,TARA_038,19.0393,64.4913,TARA_038_SRF_0.22-1.6,2010-03-15T03:35,SRF,0.22,1.6
TARA,TARA_141_SRF_0.22-3,TARA_141,9.8481,-80.0454,TARA_141_SRF_0.22-3,2011-12-30T13:35,SRF,0.22,3
TARA,TARA_140_SRF_0.22-3,TARA_140,7.4122,-79.3017,TARA_140_SRF_0.22-3,2011-12-21T16:20,SRF,0.22,3
TARA,TARA_137_SRF_0.22-3,TARA_137,14.2035,-116.6261,TARA_137_SRF_0.22-3,2011-12-02T14:12,SRF,0.22,3
TARA,TARA_102_DCM_0.22-3,TARA_102,-5.2669,-85.2732,TARA_102_DCM_0.22-3,2011-04-22T21:13,DCM,0.22,3
TARA,TARA_102_DCM_0.22-3,TARA_102,-5.2669,-85.2732,TARA_102_DCM_0.22-3,2011-04-22T21:13,DCM,0.22,3
TARA,TARA_102_SRF_0.22-3,TARA_102,-5.2529,-85.1545,TARA_102_SRF_0.22-3,2011-04-21T20:07,SRF,0.22,3
TARA,TARA_102_SRF_0.22-3,TARA_102,-5.2529,-85.1545,TARA_102_SRF_0.22-3,2011-04-21T20:07,SRF,0.22,3
TARA,TARA_110_SRF_0.22-3,TARA_110,-2.0133,-84.589,TARA_110_SRF_0.22-3,2011-05-21T12:27,SRF,0.22,3
TARA,TARA_100_SRF_0.22-3,TARA_100,-13.0023,-95.9759,TARA_100_SRF_0.22-3,2011-04-15T12:45,SRF,0.22,3
TARA,TARA_110_MES_0.22-3,TARA_110,-1.8902,-84.6141,TARA_110_MES_0.22-3,2011-05-22T13:20,MES.OMZ,0.22,3
TARA,TARA_122_MES_0.22-0.45,TARA_122,-8.9729,-139.2393,TARA_122_MES_0.22-0.45,2011-07-27T19:28:43,MES,0.22,0.45
TARA,TARA_122_MES_0.45-0.8,TARA_122,-8.9729,-139.2393,TARA_122_MES_0.45-0.8,2011-07-27T19:28:43,MES,0.45,0.8
TARA,TARA_078_MES_0.22-3,TARA_078,-30.1471,-43.2915,TARA_078_MES_0.22-3,2010-11-05T12:33:27,MES,0.22,3
TARA,TARA_018_SRF_0.22-1.6,TARA_018,35.759,14.2574,TARA_018_SRF_0.22-1.6,2009-11-02T08:13,SRF,0.22,1.6
TARA,TARA_033_SRF_0.22-1.6,TARA_033,21.9467,38.2517,TARA_033_SRF_0.22-1.6,2010-01-13T07:16,SRF,0.22,1.6
TARA,TARA_033_SRF_0.22-1.6,TARA_033,21.9467,38.2517,TARA_033_SRF_0.22-1.6,2010-01-13T07:16,SRF,0.22,1.6
TARA,TARA_031_SRF_0.22-1.6,TARA_031,27.16,34.835,TARA_031_SRF_0.22-1.6,2010-01-09T07:15,SRF,0.22,1.6
TARA,TARA_031_SRF_0.22-1.6,TARA_031,27.16,34.835,TARA_031_SRF_0.22-1.6,2010-01-09T07:15,SRF,0.22,1.6
TARA,TARA_032_DCM_0.22-1.6,TARA_032,23.4183,37.245,TARA_032_DCM_0.22-1.6,2010-01-11T14:17,DCM,0.22,1.6
TARA,TARA_032_SRF_0.22-1.6,TARA_032,23.36,37.2183,TARA_032_SRF_0.22-1.6,2010-01-11T07:21,SRF,0.22,1.6
TARA,TARA_032_SRF_0.22-1.6,TARA_032,23.36,37.2183,TARA_032_SRF_0.22-1.6,2010-01-11T07:21,SRF,0.22,1.6
TARA,TARA_150_SRF_0.22-3,TARA_150,35.9346,-37.3032,TARA_150_SRF_0.22-3,2012-03-05T09:25,SRF,0.22,3
TARA,TARA_150_DCM_0.22-3,TARA_150,35.8427,-37.1526,TARA_150_DCM_0.22-3,2012-03-05T17:34,DCM,0.22,3
TARA,TARA_149_SRF_0.22-3,TARA_149,34.1132,-49.9181,TARA_149_SRF_0.22-3,2012-03-01T10:48,SRF,0.22,3
TARA,TARA_148_SRF_0.22-3,TARA_148,31.6948,-64.2489,TARA_148_SRF_0.22-3,2012-02-24T11:40,SRF,0.22,3
TARA,TARA_145_SRF_0.22-3,TARA_145,39.2305,-70.0377,TARA_145_SRF_0.22-3,2012-02-02T11:52,SRF,0.22,3
TARA,TARA_142_SRF_0.22-3,TARA_142,25.5264,-88.394,TARA_142_SRF_0.22-3,2012-01-09T13:41,SRF,0.22,3
TARA,TARA_142_DCM_0.22-3,TARA_142,25.6168,-88.4532,TARA_142_DCM_0.22-3,2012-01-09T20:17:16,DCM,0.22,3
TARA,TARA_111_DCM_0.22-3,TARA_111,-16.9587,-100.6751,TARA_111_DCM_0.22-3,2011-05-31T20:28:10,DCM,0.22,3
TARA,TARA_151_DCM_0.22-3,TARA_151,36.1811,-28.9373,TARA_151_DCM_0.22-3,2012-03-09T17:42:29,DCM,0.22,3
TARA,TARA_151_SRF_0.22-3,TARA_151,36.1715,-29.023,TARA_151_SRF_0.22-3,2012-03-09T08:59,SRF,0.22,3
TARA,TARA_045_SRF_0.22-1.6,TARA_045,0.0033,71.6428,TARA_045_SRF_0.22-1.6,2010-04-13T03:21,SRF,0.22,1.6
TARA,TARA_045_SRF_0.22-1.6,TARA_045,0.0033,71.6428,TARA_045_SRF_0.22-1.6,2010-04-13T03:21,SRF,0.22,1.6
TARA,TARA_048_SRF_0.22-1.6,TARA_048,-9.3921,66.4228,TARA_048_SRF_0.22-1.6,2010-04-19T07:56,SRF,0.22,1.6
TARA,TARA_052_DCM_0.22-1.6,TARA_052,-16.9534,53.9601,TARA_052_DCM_0.22-1.6,2010-05-17T11:42,DCM,0.22,1.6
TARA,TARA_052_DCM_0.22-1.6,TARA_052,-16.9534,53.9601,TARA_052_DCM_0.22-1.6,2010-05-17T11:42,DCM,0.22,1.6
TARA,TARA_052_SRF_0.22-1.6,TARA_052,-16.957,53.9801,TARA_052_SRF_0.22-1.6,2010-05-17T04:10,SRF,0.22,1.6
TARA,TARA_052_SRF_0.22-1.6,TARA_052,-16.957,53.9801,TARA_052_SRF_0.22-1.6,2010-05-17T04:10,SRF,0.22,1.6
TARA,TARA_058_DCM_0.22-3,TARA_058,-17.2855,42.2866,TARA_058_DCM_0.22-3,2010-06-29T15:00,DCM,0.22,3
TARA,TARA_042_SRF_0.22-1.6,TARA_042,6.0001,73.8955,TARA_042_SRF_0.22-1.6,2010-04-04T02:47,SRF,0.22,1.6
TARA,TARA_068_DCM_0.22-0.45,TARA_068,-31.027,4.6802,TARA_068_DCM_0.22-0.45,2010-09-14T13:30,DCM,0.22,0.45
TARA,TARA_068_SRF_0.22-0.45,TARA_068,-31.0266,4.665,TARA_068_SRF_0.22-0.45,2010-09-14T06:55,SRF,0.22,0.45
TARA,TARA_070_SRF_0.22-3,TARA_070,-20.4091,-3.1759,TARA_070_SRF_0.22-3,2010-09-21T06:55,SRF,0.22,3
TARA,TARA_070_SRF_0.22-0.45,TARA_070,-20.4091,-3.1759,TARA_070_SRF_0.22-0.45,2010-09-21T06:55,SRF,0.22,0.45
TARA,TARA_070_SRF_0.45-0.8,TARA_070,-20.4091,-3.1759,TARA_070_SRF_0.45-0.8,2010-09-21T06:55,SRF,0.45,0.8
